"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","location","language","profileImageURL"
"16","RT @SoCalMark: Watching hearing in Philippines on how #Duterte is a murderer @ABSCBNNews when will Filipino people wake up? God has left th…",FALSE,0,NA,2016-10-10 18:32:07,FALSE,NA,"785548482677465089",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Jake_Witmer",1,TRUE,FALSE,NA,NA,"PGP: 53BC115A92986C44","en","http://pbs.twimg.com/profile_images/766673768957693952/MkqEttKT_normal.jpg"
"17","RT @PhelimKine: #Philippines Prez #Duterte ""The Serial Killer President"" via @libe https://t.co/Xfv9rg7uFj Justified @hrw https://t.co/0AF9…",FALSE,0,NA,2016-10-10 18:30:58,FALSE,NA,"785548193882779648",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ane_al5173",11,TRUE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/759354911939112960/nNH1VOdO_normal.jpg"
"18","#Philippines defends #Duterte after he is labelled ‘serial killer’, ‘psychopath’
https://t.co/1uE8Mhstwx https://t.co/cOWofhuD9m",FALSE,0,NA,2016-10-10 18:30:00,FALSE,NA,"785547950583799808",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","AsCorrespondent",0,FALSE,FALSE,NA,NA,"Asia","en","http://pbs.twimg.com/profile_images/517251801771286528/H9m1i4RJ_normal.png"
"19","RT @mitchpapasgirl: @juliomarangga @ilda_talk @FSTopacio @mydutertestory @lesliebocobo @jamesparmis #Duterte https://t.co/EqaGkSORhR",FALSE,0,NA,2016-10-10 18:21:27,FALSE,NA,"785545796603244544",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","juliomarangga",1,TRUE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/763719969108615168/jVG-Ro_A_normal.jpg"
"20","@juliomarangga @ilda_talk @FSTopacio @mydutertestory @lesliebocobo @jamesparmis #Duterte https://t.co/EqaGkSORhR",FALSE,1,"juliomarangga",2016-10-10 18:19:57,FALSE,NA,"785545421905072128","3791313374","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","mitchpapasgirl",1,FALSE,FALSE,NA,NA,"Bahrain","en","http://pbs.twimg.com/profile_images/781440967291404289/1qwwMt7R_normal.jpg"
"21","#Filipíny 100 dní prezidenta #Duterte-ho – skandální výroky a válka proti drogám – analýza pro @HorizontCT24… https://t.co/GAIesPPcnC",FALSE,1,NA,2016-10-10 18:11:27,TRUE,NA,"785543280008302592",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","pavelvond",0,FALSE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/579383271345147904/sXbGV0QR_normal.jpg"
"22","Yes, in a @realDonaldTrump presidency, ""due process"" will be reduced with the rest of government. Just shoot ""suspects"" on sight. #Duterte",FALSE,0,NA,2016-10-10 18:08:40,FALSE,NA,"785542581434187776",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ashahawkesworth",0,FALSE,FALSE,NA,NA,"Gresham, Oregon, USA","en","http://pbs.twimg.com/profile_images/768917557478731776/7j1AGqgt_normal.jpg"
"23","@MercuryTwin @RevatiSandhu @ReemaSandhuUK @Win4768a

Nothing.

@POTUS should let #China neuter macho #Duterte &amp; Filipinos will overthrow him",FALSE,0,"MercuryTwin",2016-10-10 18:05:45,FALSE,"785474252447158276","785541846713921536","4245683592","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Solutioneer72",0,FALSE,FALSE,NA,NA,"Chicago, IL, USA","en","http://pbs.twimg.com/profile_images/378800000107153064/661dbe4855249cbd98216ed5c3786d85_normal.png"
"24","#Duterte 
#Duterte100Days 
https://t.co/6FC2TOmKNI",FALSE,0,NA,2016-10-10 17:56:06,FALSE,NA,"785539415812681728",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","jaysonreville",0,FALSE,FALSE,NA,NA,"Republic of the Philippines","en","http://pbs.twimg.com/profile_images/699303231608922112/jJECpwvi_normal.jpg"
"25","RT @Harryslaststand: #Duterte is a mass murderer.
https://t.co/JfvAGBwooJ",FALSE,0,NA,2016-10-10 17:52:48,FALSE,NA,"785538586594738176",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","e_marblack",19,TRUE,FALSE,NA,NA,"Bagdad N.B. Canada","en","http://pbs.twimg.com/profile_images/744547938945351680/i9KZCwaq_normal.jpg"
