"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","location","language","profileImageURL"
"1","https://t.co/hIbkLjf0wj Sobrang NAGALIT si Pres. Duterte kay TRILLANES #video #sobrang #nagalit #pres #duterte #kay #trillanes",FALSE,0,NA,2016-10-10 10:08:53,FALSE,NA,"785421839623450624",NA,"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>","hotvideoph",0,FALSE,FALSE,NA,NA,"","ko","http://pbs.twimg.com/profile_images/453704915626385409/CoDbcgoo_normal.png"
"2","Thank you Lord! #Pres.Duterte's1st100Days #MedicalMission #DentalMission #BrgyFairview… https://t.co/eHgZCTtHZr",FALSE,2,NA,2016-10-09 00:40:22,FALSE,NA,"784916380118355968",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","OfficialNadiaM",0,FALSE,FALSE,NA,NA,"ÜT: 14.642368,121.075302","en","http://pbs.twimg.com/profile_images/677148864344752129/kft9XPM9_normal.jpg"
"3","https://t.co/R7bmFwzT7E Pres. Duterte Binalingan ng galit si Trillanes, Uminit ang ulo kay OBAMA at EU #video #pres #duterte",FALSE,0,NA,2016-10-08 12:01:01,FALSE,NA,"784725284272476160",NA,"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>","hotvideoph",0,FALSE,FALSE,NA,NA,"","ko","http://pbs.twimg.com/profile_images/453704915626385409/CoDbcgoo_normal.png"
"4","a good leader came from mindanao
#pres.Rodrigo'digong'Duterte",FALSE,0,NA,2016-10-07 08:01:50,FALSE,NA,"784302703325294593",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>","pj_coseph",0,FALSE,FALSE,NA,NA,"dalahican lucena city quezon philippines","en","http://pbs.twimg.com/profile_images/782543084563247104/DnbZ7GaW_normal.jpg"
